# Reviewed expectations: Linux root NFSv3 adapter, not native FUSE conformance.
# First root review: 2026-09-20, pjdfstest 85a8aea9e685999ef0540392fd80535f873d7ff7.
# Review, source dependencies and isolated supported-kind check:
# docs/bugs/2026-09-20-pjdfstest-device-fixture-cascades.md
# A-26 authorizes FIFO/socket metadata; block/character devices remain refused.
# NFS-OPEN and NFS-TIME are client/wire limits, not shared VFS exclusions.
# This initializes the root review left pending in conformance.md section 3.4.
# One case per line; no file wildcard. Unlisted failures, listed passes and absent
# listed cases fail the gate. This list can only shrink after this review.
# The historical transport slug is native-linux-fuse; the record remains LIMITED.
# Device names are never substituted, and the upstream suite is never patched in CI.

tests/rename/09.t:944  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:950  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:952  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:954  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:955  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:958  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:960  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:962  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:963  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:966  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:968  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:974  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:976  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:982  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:984  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:988  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:989  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:990  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:992  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:993  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:998  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1000  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1002  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1008  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1010  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1012  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1013  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1016  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1018  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1020  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1021  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1024  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1026  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1032  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1034  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1040  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1042  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1046  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1047  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1048  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1049  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1052  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1053  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1058  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1059  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1062  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1063  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1064  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1065  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1066  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1067  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1068  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1069  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1070  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1071  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1072  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1073  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1076  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1077  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1082  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1083  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1086  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1088  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1089  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1090  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1091  A-26 refuses the block-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1094  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1095  A-26 refuses the block-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1100  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1101  A-26 refuses the block-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1104  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1105  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1106  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1107  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1108  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1109  A-26 refuses the block-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1110  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1111  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1112  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1113  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1114  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1115  A-26 refuses the block-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1118  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1119  A-26 refuses the block-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1124  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1125  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1128  A-26 refuses the block-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1130  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1131  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1132  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1134  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1135  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1140  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1142  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1144  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1150  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1152  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1154  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1155  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1158  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1160  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1162  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1163  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1166  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1168  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1174  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1176  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1182  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1184  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1188  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1189  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1190  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1192  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1193  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1198  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1200  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1202  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1208  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1210  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1212  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1213  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1216  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1218  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1220  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1221  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1224  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1226  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1232  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1234  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1240  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1242  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1246  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1247  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1248  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1250  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1251  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1256  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1258  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1260  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1266  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1268  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1270  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1271  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1274  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1276  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1278  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1279  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1282  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1284  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1290  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1292  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1298  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1300  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1304  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1305  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1306  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1308  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1309  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1314  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1316  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1318  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1324  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1326  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1328  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1329  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1332  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1334  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1336  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1337  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1340  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1342  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1348  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1350  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1356  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1358  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1362  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1363  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1364  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1366  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1367  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1372  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1374  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1376  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1382  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1384  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1386  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1387  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1390  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1392  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1394  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1395  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1398  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1400  A-26 refuses the char-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1406  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1408  A-26 refuses the char-to-socket test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1414  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1416  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1420  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1421  A-26 refuses the char-to-symlink test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1422  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1423  A-26 refuses the char-to-none test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1426  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1427  A-26 refuses the char-to-regular test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1432  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1433  A-26 refuses the char-to-fifo test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1436  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1437  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1438  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1439  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1440  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:1441  A-26 refuses the char-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
